"","Site_Names","Site_code","Zone","Lat","Long","Landowner","Active_","Spring_202","Summer_202","Fall_2022","Summer_203","Fall_2023","Seasons_wi","Directions","Additional","Field16","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27","geometry"
"46","Dimond Park-Bridgeview Trail","DP-BT",6,37.8144,-122.21097,"City of Oakland","Active","No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.21097, 37.8144)
"47","Dimond Park-Sausal Creek","DP-SC",6,37.80386,-122.21678,"City of Oakland","Active","No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.21678, 37.80386)
"48","Central Reservoir Recreation Area","CRRA",6,37.79605,-122.22252,"City of Oakland","Active","No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.22252, 37.79605)
"49","Louise Fortmann Home","LFH",6,37.8123,-122.219,"Private landowner","Retired","Yes","Yes","Yes","No","No",NA,NA,"Site retired after the Fall 2022 season",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.219, 37.8123)
"50","Betsy Mason Home","BMH",6,37.8031,-122.218,"Private landowner","Retired","Yes","No","No","No","No",NA,NA,"Site retired after the Spring 2022 season",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.218, 37.8031)
"51","Tina Chen's House","TCH",6,37.808,-122.239,"Private landowner","Retired","Yes","Yes","Yes","No","No",NA,NA,"Site retired after the Fall 2022 season",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.239, 37.808)
"52","Oyster Bay Regional Shoreline","OBRS",7,37.70686,-122.19492,"East Bay Regional Parks","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.19492, 37.7068600000001)
"53","MLK Shoreline","MLK",7,37.7387,-122.21017,"East Bay Regional Parks","Active","No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.21017, 37.7387)
"54","Corica Golf Course North","CGCN",7,37.74646,-122.23578,"Private landowner","Active","Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.23578, 37.7464600000001)
"55","Jean Sweeney Park","JSP",7,37.77901,-122.26488,"City of Alameda","Active","No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.26488, 37.77901)
"56","Crown Memorial State Beach","CMSB",7,37.76965,-122.27603,"East Bay Regional Parks","Active","No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.27603, 37.7696500000001)
"57","Alameda Estuary Park","AEP",7,37.78993,-122.28825,"City of Alameda","Active","No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.28825, 37.78993)
"58","Alameda Shoreline Park","ALSH",7,37.78315,-122.26828,"City of Alameda","Retired","No","Yes","No","No","No","Fall 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.26828, 37.78315)
"59","Berm Corridor-Shoreline Park","BC-SP",7,37.7846,-122.2702,"Private landowner","Retired","No","No","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.2702, 37.7846000000001)
"60","Corica Golf Course South","CGCS",7,37.7327,-122.228,"Private landowner","Retired","Yes","No","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.228, 37.7327000000001)
"61","McLaughlin Eastshore State Park","MESP",8,37.87153,-122.30742,"East Bay Regional Parks","Active","No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.30742, 37.8715300000001)
"62","UC Gill Tract","UCGT",8,37.88585,-122.29775,"UC Berkeley","Active","No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.29775, 37.8858500000001)
"63","Albany Waterfront Trail-Albany Bulb","AWT-AB",8,37.88974,-122.31256,"East Bay Regional Parks","Active","No","No","Yes","Yes","Yes","Summer 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.31256, 37.8897400000001)
"64","Point Isabel Regional Shoreline","PIRS",8,37.89808,-122.32326,"East Bay Regional Parks","Active","No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.32326, 37.89808)
"65","Booker T. Anderson Park","BTA",8,37.91918,-122.326,"City of Richmond","Active","No","No","Yes","No","Yes","Summer 2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.326, 37.91918)
"66","Marina Bay Park","MBP",8,37.91472,-122.34515,"City of Richmond","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.34515, 37.91472)
"67","Barbara and Jay Vincent Park","BJVP",8,37.9091,-122.35107,"City of Richmond","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.35107, 37.9091000000001)
"68","Miller Knox Crest Trail","MK-CT",8,37.91637,-122.37392,"East Bay Regional Parks","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.37392, 37.91637)
"69","Miller Knox Pickleweed","MK-PW",8,37.91243,-122.38757,"East Bay Regional Parks","Active","Yes","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.38757, 37.91243)
